"Area","Subcategory","Product ID","Name","Type","Price","Rating","Description","Affiliate URL","Image URL (optional)"
"Spirit","Gratitude & Positivity","grp2","The Gratitude Diaries","book","$15.99","4.4","Janice Kaplan's year-long experiment trying to live more gratefully — and the surprising, research-backed ways it transformed her life, relationships, and health.","#",""
"Spirit","Gratitude & Positivity","← NEW","","book/course/supplement/physical","","","","",""
"Spirit","Gratitude & Positivity","← NEW","","","","","","",""
"Spirit","Gratitude & Positivity","← NEW","","","","","","",""
"Spirit","Forgiveness","ipp1","The Power of Now: A Guide to Spiritual Enlightenment","book","$15.99","4.7","Eckhart Tolle's transformational guide to living in the present moment and freeing yourself from the relentless tyranny of the thinking mind. A modern spiritual masterpiece.","#",""
"Spirit","Forgiveness","ipp2","Meditations by Marcus Aurelius","book","$9.99","4.9","The private reflections of Rome's philosopher-emperor — written for himself, not for publication — remain the most practical guide to inner peace ever written.","#",""
"Spirit","Forgiveness","← NEW","","book/course/supplement/physical","","","","",""
"Spirit","Forgiveness","← NEW","","","","","","",""
"Spirit","Forgiveness","← NEW","","","","","","",""
"Spirit","Service","spp1","The Untethered Soul: The Journey Beyond Yourself","book","$16.99","4.8","Michael Singer's profound exploration of consciousness, spiritual awakening, and the path to inner freedom — one of the most beloved spiritual books of the modern era.","#",""
"Spirit","Service","spp2","Insight Timer — Free Meditation App","course","Free","4.7","The world's largest free library of guided meditations with over 100,000 sessions, plus a community of 25 million meditators worldwide.","#",""
"Spirit","Service","← NEW","","book/course/supplement/physical","","","","",""
"Spirit","Service","← NEW","","","","","","",""
"Spirit","Service","← NEW","","","","","","",""
"Relationships","Romantic Partnerships","romp1","The Seven Principles for Making Marriage Work","book","$17.00","4.8","John Gottman's research-based guide to building a lasting, fulfilling partnership — backed by 40 years of scientific study of thousands of couples.","#",""
"Relationships","Romantic Partnerships","romp2","Hold Me Tight: Seven Conversations for a Lifetime of Love","book","$16.99","4.7","Dr. Sue Johnson's emotionally focused couples therapy transformed into a powerful self-help guide for understanding and deepening your romantic bond.","#",""
"Relationships","Romantic Partnerships","← NEW","","book/course/supplement/physical","","","","",""
"Relationships","Romantic Partnerships","← NEW","","","","","","",""
"Relationships","Romantic Partnerships","← NEW","","","","","","",""
"Relationships","Family Bonds","famp2","The Power of Moments: Why Certain Experiences Have Extraordinary Impact","book","$17.00","4.6","Chip and Dan Heath show how to intentionally create the defining moments that deepen family bonds and become treasured memories forever.","#",""
"Relationships","Family Bonds","← NEW","","book/course/supplement/physical","","","","",""
"Relationships","Family Bonds","← NEW","","","","","","",""
"Relationships","Family Bonds","← NEW","","","","","","",""
"Relationships","Friendship & Social Circle","frp1","Platonic: How the Science of Attachment Can Help You Make—and Keep—Friends","book","$18.99","4.6","Dr. Marisa Franco's evidence-based guide to forming deep, meaningful friendships as an adult — addressing the specific challenges of modern friendship.","#",""
"Relationships","Friendship & Social Circle","frp2","How to Win Friends and Influence People","book","$15.99","4.8","Dale Carnegie's classic — still the definitive guide to building genuine rapport, making people feel valued, and creating lasting, meaningful connections.","#",""
"Relationships","Friendship & Social Circle","← NEW","","book/course/supplement/physical","","","","",""
"Relationships","Friendship & Social Circle","← NEW","","","","","","",""
"Relationships","Friendship & Social Circle","← NEW","","","","","","",""
"Relationships","Communication Skills","comp2","Never Split the Difference: Negotiating as if Your Life Depended on It","book","$17.00","4.8","FBI hostage negotiator Chris Voss reveals the communication and negotiation tactics that work in the highest-stakes situations — applicable to every conversation.","#",""
"Relationships","Communication Skills","← NEW","","book/course/supplement/physical","","","","",""
"Relationships","Communication Skills","← NEW","","","","","","",""
"Relationships","Communication Skills","← NEW","","","","","","",""
"Relationships","Networking & Community","netp1","Never Eat Alone: And Other Secrets to Success, One Relationship at a Time","book","$16.99","4.5","Keith Ferrazzi's classic guide to building a powerful network of genuine relationships — not shallow contacts — and how generosity is the ultimate competitive advantage.","#",""
"Relationships","Networking & Community","netp2","The Art of Gathering: How We Meet and Why It Matters","book","$17.00","4.5","Priya Parker's guide to intentionally creating transformative gatherings — dinners, meetups, events — that forge genuine community and lasting connection.","#",""
"Relationships","Networking & Community","← NEW","","book/course/supplement/physical","","","","",""
"Relationships","Networking & Community","← NEW","","","","","","",""
"Relationships","Networking & Community","← NEW","","","","","","",""
"Money","Wealth Mindset","wmp1","The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness","book","$18.99","4.9","Morgan Housel's masterpiece on the strange ways people think about money — widely considered one of the most important financial books of the decade.","#",""
"Money","Wealth Mindset","wmp2","Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth","book","$15.99","4.6","T. Harv Eker reveals how your 'money blueprint' — your unconscious conditioning about money — determines your financial life. Practical tools to change it.","#",""
"Money","Wealth Mindset","← NEW","","book/course/supplement/physical","","","","",""
"Money","Wealth Mindset","← NEW","","","","","","",""
"Money","Wealth Mindset","← NEW","","","","","","",""
"Money","Budgeting & Saving","budp2","I Will Teach You to Be Rich (2nd Edition)","book","$19.99","4.7","Ramit Sethi's practical, no-BS guide to automating your finances, eliminating debt, and building wealth — specifically designed for people who don't want to think about money all day.","#",""
"Money","Budgeting & Saving","← NEW","","book/course/supplement/physical","","","","",""
"Money","Budgeting & Saving","← NEW","","","","","","",""
"Money","Budgeting & Saving","← NEW","","","","","","",""
"Money","Investing & Growing Wealth","invp1","The Little Book of Common Sense Investing (Updated Edition)","book","$21.99","4.8","John Bogle's definitive guide to index fund investing — the strategy that consistently beats 90% of professional investors and builds substantial long-term wealth.","#",""
"Money","Investing & Growing Wealth","invp2","A Random Walk Down Wall Street (Updated Edition)","book","$18.99","4.7","Burton Malkiel's classic — the book that convinced a generation of investors to use index funds and ignore the noise of Wall Street predictions.","#",""
"Money","Investing & Growing Wealth","← NEW","","book/course/supplement/physical","","","","",""
"Money","Investing & Growing Wealth","← NEW","","","","","","",""
"Money","Investing & Growing Wealth","← NEW","","","","","","",""
"Money","Income & Career Growth","incp1","Earn 1K — Online Business Course","course","$997","4.7","Ramit Sethi's proven system for starting a profitable side business using your existing skills, from validating your idea to landing your first paying client.","#",""
"Money","Income & Career Growth","incp2","The $100 Startup","book","$16.99","4.5","Chris Guillebeau's research into 1,500 micro-entrepreneurs reveals the patterns behind profitable businesses started with $100 or less and no special training.","#",""
"Money","Income & Career Growth","← NEW","","book/course/supplement/physical","","","","",""
"Money","Income & Career Growth","← NEW","","","","","","",""
"Money","Income & Career Growth","← NEW","","","","","","",""
"Money","Entrepreneurship","entp1","Zero to One: Notes on Startups, or How to Build the Future","book","$18.99","4.6","Peter Thiel's unconventional framework for creating businesses that build something genuinely new, rather than competing in crowded existing markets.","#",""
"Money","Entrepreneurship","entp2","The E-Myth Revisited","book","$16.99","4.7","Michael Gerber reveals why most small businesses fail and what to do about it — how to build a business that runs without you through systems and processes.","#",""
"Money","Entrepreneurship","← NEW","","book/course/supplement/physical","","","","",""
"Money","Entrepreneurship","← NEW","","","","","","",""
"Money","Entrepreneurship","← NEW","","","","","","",""
"Direction","Goal Setting & Achievement","gsp1","The 12 Week Year: Get More Done in 12 Weeks than Others Do in 12 Months","book","$18.99","4.7","Brian Moran and Michael Lennington's revolutionary planning system that creates urgency and dramatically accelerates results by compressing your year into 12 weeks.","#",""
"Direction","Goal Setting & Achievement","gsp2","Full Focus Planner (Quarterly)","physical","$49.99","4.6","Michael Hyatt's beautifully designed quarterly planner specifically engineered for goal achievement, daily intentionality, and building the habits that move you forward.","#",""
"Direction","Goal Setting & Achievement","← NEW","","book/course/supplement/physical","","","","",""
"Direction","Goal Setting & Achievement","← NEW","","","","","","",""
"Direction","Goal Setting & Achievement","← NEW","","","","","","",""
"Direction","Time Management & Productivity","tmp1","Getting Things Done: The Art of Stress-Free Productivity","book","$16.99","4.5","David Allen's legendary GTD system for capturing, clarifying, organizing, and completing everything on your plate — without the mental overhead of trying to remember it all.","#",""
"Direction","Time Management & Productivity","tmp2","Todoist Premium — Task Manager","course","$4/month","4.6","The most intelligently designed task management app available. Used by 30 million people to capture every task, set priorities, and systematically get things done.","#",""
"Direction","Time Management & Productivity","← NEW","","book/course/supplement/physical","","","","",""
"Direction","Time Management & Productivity","← NEW","","","","","","",""
"Direction","Time Management & Productivity","← NEW","","","","","","",""
"Direction","Career & Professional Growth","cgp2","The First 90 Days: Critical Success Strategies for New Leaders","book","$19.99","4.6","Michael Watkins' guide used by over 1.5 million leaders for accelerating transitions and making a strong impact in any new role, at any level.","#",""
"Direction","Career & Professional Growth","← NEW","","book/course/supplement/physical","","","","",""
"Direction","Career & Professional Growth","← NEW","","","","","","",""
"Direction","Career & Professional Growth","← NEW","","","","","","",""
"Direction","Making and Breaking Habits","pdp1","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","book","$18.99","4.9","James Clear's definitive, practical guide to building good habits and breaking bad ones. The single best book on behavior change and the mechanics of self-improvement.","#",""
"Direction","Making and Breaking Habits","pdp2","The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life","book","$14.99","4.5","Hal Elrod's SAVERS morning routine framework — Silence, Affirmations, Visualization, Exercise, Reading, Scribing — has helped millions transform their mornings and their lives.","#",""
"Direction","Making and Breaking Habits","← NEW","","book/course/supplement/physical","","","","",""
"Direction","Making and Breaking Habits","← NEW","","","","","","",""
"Direction","Making and Breaking Habits","← NEW","","","","","","",""
